Day,Door,Duration (m),Energy (kWh)
2022-10-26,Freezer,0.249999985098839,1.22436083575152
2022-10-27,Freezer,0.800000354647636,2.55602444210909
2022-10-28,Freezer,2.88333378732204,2.071026397058
2022-10-29,Freezer,3.9833365380764,2.34962472643219
2022-10-30,Freezer,1.8666672706604,3.22970267517306
2022-10-31,Freezer,0.983332693576813,3.13417147807628
2022-11-07,Freezer,1.88333116471767,2.86774313786477
2022-11-08,Freezer,1.6166652739048,2.38947985458858
2022-11-09,Freezer,2.21666604280472,2.70440819429196
2022-11-10,Freezer,1.86666525900364,2.8417042761337
2022-11-11,Freezer,1.80000096559525,2.66969389028326
2022-11-12,Freezer,1.35000072419643,2.73861287879348
2022-11-13,Freezer,0.433334335684776,2.60750044422895
2022-11-14,Freezer,2.68333151936531,2.2699369437553
2022-11-15,Freezer,2.65000037848949,2.82687337773107
2022-11-16,Freezer,3.09999994933605,2.02887105264701
2022-11-17,Freezer,1.98333330452442,2.91976157767251
2022-11-18,Freezer,2.31666684150696,2.46609313875474
2022-11-19,Freezer,1.35000072419643,2.52138266761489
2022-11-20,Freezer,1.19999952614307,2.02983666891307
2022-11-21,Freezer,1.96666605770588,2.00396810056306
2022-11-22,Freezer,3.1666649132967,2.35597261239812
2022-11-23,Freezer,1.76666714251041,2.68017519225217
2022-11-24,Freezer,2.29999892413616,2.78249981278963
2022-11-25,Freezer,2.6333324611187,3.21691133255996
2022-11-26,Freezer,2.20000080764294,2.34669877736717
2022-11-27,Freezer,1.81666620075703,2.08884830880091
2022-11-28,Freezer,2.13333182036877,2.34974458551072
2022-11-29,Freezer,5.89999817311764,2.59146427546665
2022-11-30,Freezer,1.80000096559525,2.87763588963859
2022-12-01,Freezer,0.866667330265045,1.68577035459392
2022-12-02,Freezer,0.716667473316193,1.89932499961518
2022-12-03,Freezer,0.9333336353302,1.42152906169407
2022-12-04,Freezer,0.816666930913925,2.16624075396135
2022-12-05,Freezer,0.96666544675827,1.77966975274868
2022-12-06,Freezer,1.31666623055935,2.09351619356275
2022-12-07,Freezer,1.483334004879,1.92308152931146
2022-12-08,Freezer,0.316666290163994,1.68165064045452
2022-12-09,Freezer,2.93333284556866,2.04017391579151
2022-12-10,Freezer,2.98333391547203,2.04081075153574
2022-12-11,Freezer,0.633333250880241,1.63909916977063
2022-12-12,Freezer,1.76666580140591,2.05727713978998
2022-12-13,Freezer,1.26666650176048,1.59290869073421
2022-12-14,Freezer,0.0,1.65977422350124
2022-12-15,Freezer,0.116666704416275,1.64991688972302
2022-12-16,Freezer,2.13333383202553,1.60409249769934
2022-12-17,Freezer,0.299999713897705,1.91692777846567
2022-12-18,Freezer,0.766665190458298,1.55155638352744
2022-12-19,Freezer,0.566666945815086,1.75044416753389
2022-12-20,Freezer,0.0833328813314438,1.14896110834591
2022-12-21,Freezer,0.0,1.44593702632338
2022-12-22,Freezer,0.850000083446503,1.84175288700499
2022-12-23,Freezer,0.433332994580269,1.38742197097912
2022-12-24,Freezer,0.0,0.930904218178242
2022-12-25,Freezer,0.0,0.929990831891075
2022-12-26,Freezer,0.0,0.782658606421575
2022-12-27,Freezer,1.10000006854534,1.36391938740201
2022-12-28,Freezer,0.0,1.03317610851489
2022-12-29,Freezer,0.200000256299973,0.873167221509665
2022-12-30,Freezer,0.249999314546585,1.2013799774006
2022-12-31,Freezer,0.0,0.489541945859045
2023-01-01,Freezer,1.46666541695595,1.09069525526986
2023-01-02,Freezer,1.10000006854534,2.22922499999888
2023-01-03,Freezer,0.9333336353302,2.40261041890718
2023-01-04,Freezer,0.966666117310524,1.94811388565116
2023-01-05,Freezer,0.966668128967285,2.10957421975695
2023-01-06,Freezer,0.966666117310524,2.06972700585499
2023-01-07,Freezer,0.383333265781403,1.75440208504647
2023-01-08,Freezer,1.44999951124191,1.95821972519495
2023-01-09,Freezer,1.03333376348019,2.15590349464864
2023-01-10,Freezer,2.40000039339066,2.46587488936745
2023-01-11,Freezer,0.666667073965073,1.96031583452448
2023-01-12,Freezer,0.666665732860565,2.05910772533901
2023-01-13,Freezer,0.433333665132523,1.84704566239379
2023-01-14,Freezer,0.249999985098839,1.58734572359025
2023-01-15,Freezer,1.3500027358532,1.99859953110963
2023-01-16,Freezer,0.78333243727684,2.21966767100506
2023-01-17,Freezer,0.850000083446503,1.85560769722313
2023-01-18,Freezer,3.4333348274231,1.79367294320092
2023-01-19,Freezer,0.266666561365128,1.69038723093309
2023-01-20,Freezer,2.03333236277103,1.6369658342924
2023-01-21,Freezer,0.983332693576813,1.65605777491629
2023-01-22,Freezer,0.650000497698784,1.64001590732932
2023-01-23,Freezer,0.0666669756174088,1.70589760740213
2023-01-24,Freezer,0.916666388511658,1.61525472401753
2023-01-25,Freezer,0.716666802763939,1.72768255801164
2023-01-26,Freezer,0.566666945815086,1.82301383573413
2023-01-27,Freezer,2.04999960958958,2.04405225271024
2023-01-28,Freezer,0.716666132211685,1.87362979993634
2023-01-29,Freezer,0.149999856948853,1.55531082827412
2023-01-30,Freezer,2.63333380222321,2.03319638854936
2023-01-31,Freezer,1.38333454728127,1.85588558230475
2023-02-01,Freezer,1.5499996393919,2.32341278156452
2023-02-02,Freezer,0.266667231917381,1.42786791495569
